Player,Points,Assists,Rebounds TOT,Rebounds OR,Rebounds DR,Blocks,Three Points Made,Three Points Attempts,Three Points Percentage,Two Points Made,Two Points Attempts,Two Points Percentage,FG Made,FG Attempts,FG Percentage,Fouls PF,Fouls FD,Free Throws Made,Free Throws Attempts,Free Throws Percentage,TO,ST,Plus or Minus,Points Rank,Assists Rank,Rebounds TOT Rank,Rebounds OR Rank,Blocks Rank,Three Points Made Rank,Three Points Attempts Rank,Three Points Percentage Rank,Two Points Made Rank,Two Points Attempts Rank,FG Made Rank,FG Attempts Rank,FG Percentage Rank,Fouls PF Rank,Fouls FD Rank,Free Throws Made Rank,Free Throws Attempts Rank,Free Throws Percentage Rank,TO Rank,ST Rank,Plus or Minus Rank
*4 DENNIS KOJA,4.0,0.0,5,0,5,1.0,0,0,0.0,2,5,40.0,2,5,40.0,0,0,0,0,0.0,2.0,2.0,9.0,6,10,3,7,4,7,8,8,6,6,6,8,5,9,9,9,9,9,5,3,1
7 GARANG DING,11.0,1.0,4,1,3,1.0,1,2,50.0,3,4,75.0,4,6,66.7,5,4,2,6,33.3,6.0,2.0,5.0,4,8,5,5,2,1,3,2,4,7,4,5,3,1,1,3,2,4,1,1,2
14 MOSES ALIER,12.0,2.0,4,1,3,0.0,1,1,100.0,3,5,60.0,4,6,66.7,2,3,3,6,50.0,2.0,0.0,5.0,3,2,4,4,7,2,6,1,3,4,3,4,2,3,3,2,1,3,4,8,3
*5 TIMOTHY OYOO,18.0,1.0,14,4,10,3.0,0,0,0.0,7,11,63.6,7,11,63.6,2,4,4,5,80.0,4.0,2.0,3.0,1,6,1,1,1,5,7,7,1,1,1,1,4,4,2,1,3,2,2,2,4
8 LARRY SHAVANGA,0.0,1.0,1,0,1,0.0,0,2,0.0,0,2,0.0,0,4,0.0,0,0,0,0,0.0,2.0,1.0,2.0,10,9,10,10,10,10,5,6,9,8,9,9,9,10,10,10,10,10,6,6,5
*13 FAHEEM JUMA,6.0,4.0,3,1,2,1.0,0,3,0.0,2,5,40.0,2,8,25.0,2,1,2,2,100.0,3.0,1.0,1.0,5,1,6,6,3,6,2,5,5,5,5,2,6,5,4,4,4,1,3,5,6
15 BRAMWEL CHEVAI (C),0.0,2.0,2,2,0,0.0,0,0,0.0,0,2,0.0,0,2,0.0,0,0,0,0,0.0,2.0,0.0,1.0,11,5,8,3,6,9,10,10,10,9,10,10,10,11,11,11,11,11,7,9,7
9 ARIEL ORTEGA,3.0,2.0,2,0,2,0.0,1,5,20.0,0,1,0.0,1,6,16.7,1,1,0,2,0.0,0.0,0.0,1.0,7,3,7,8,8,3,1,4,8,11,8,7,8,7,5,5,5,5,11,11,8
*11 DARRYL OMONDI,13.0,1.0,1,0,1,0.0,1,2,50.0,5,5,100.0,6,7,85.7,0,1,0,2,0.0,1.0,1.0,0.0,2,7,9,9,9,4,4,3,2,3,2,3,1,8,6,6,6,6,8,7,9
6 THOMAS (TJ) ADIKA,0.0,0.0,0,0,0,0.0,0,0,0.0,0,2,0.0,0,2,0.0,3,0,0,0,0.0,1.0,0.0,-3.0,9,11,11,11,11,11,11,11,11,10,11,11,11,2,7,7,7,7,9,10,10
*12 MATTHEW LANGAT,2.0,2.0,6,3,3,0.0,0,0,0.0,1,6,16.7,1,6,16.7,1,0,0,0,0.0,1.0,2.0,-6.0,8,4,2,2,5,8,9,9,7,2,7,6,7,6,8,8,8,8,10,4,11
