Unnamed: 0,Unnamed: 1,Unnamed: 2,Field Goals,2 Points,3 Points,Free Throws,Rebounds,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Fouls,Unnamed: 13,Unnamed: 14
No,Name,Min,,,,,,AS,TO,ST,BS,,+/-,PTS
,,,M/A %,M/A %,M/A %,M/A %,OR DR TOT,,,,,PF FD,,
*4 FREDRICK ONONO,,11:11,1/7 14.3,0/0 0.0,1/7 14.3,0/2 0.0,1 1 2,2,2,0,0,2 1,3,3
5 MOSES WANJARA,,04:31,0/0 0.0,0/0 0.0,0/0 0.0,0/0 0.0,0 0 0,0,2,0,0,1 0,1,0
*6 VICTOR BOSIRE (C),,30:02,0/12 0.0,0/4 0.0,0/8 0.0,2/4 50.0,2 6 8,3,4,5,0,3 2,-14,2
8 PASCAL NABWANA,,06:15,0/1 0.0,0/1 0.0,0/0 0.0,0/0 0.0,0 2 2,0,0,0,0,2 0,10,0
9 BOBBY ONYANGO,,09:58,0/1 0.0,0/1 0.0,0/0 0.0,0/0 0.0,0 0 0,2,0,1,0,0 0,11,0
10 TITUS MUSEMBI,,28:49,4/15 26.7,4/10 40.0,0/5 0.0,3/4 75.0,3 1 4,2,0,3,0,0 3,-6,11
*11 LENSON KISIA,,27:39,4/8 50.0,4/8 50.0,0/0 0.0,1/5 20.0,3 2 5,0,4,1,1,3 4,-14,9
12 MAROL ACHIEI JOSHUA,,08:56,0/0 0.0,0/0 0.0,0/0 0.0,2/4 50.0,3 1 4,1,0,1,1,1 3,0,2
*13 KELVIN KIGOTHO,,20:48,3/10 30.0,3/10 30.0,0/0 0.0,2/2 100.0,4 4 8,1,3,1,0,1 1,-11,8
*16 VICTOR OCHIENG,,35:29,9/17 52.9,3/4 75.0,6/13 46.2,1/2 50.0,1 1 2,2,0,2,0,2 1,-4,25
42 CLIFF ALELA,,16:22,2/9 22.2,2/9 22.2,0/0 0.0,2/2 100.0,3 6 9,0,2,2,0,0 1,9,6
Team/Coach,,,,,,,6 3 9,,0,,,0,,
Totals,,200:00,23/80 28.8,16/47 34.0,7/33 21.2,13/25 52.0,26 27 53,13,17,16,2,15 16,-3,66
