Unnamed: 0,Unnamed: 1,Unnamed: 2,Field Goals,2 Points,3 Points,Free Throws,Rebounds,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Fouls,Unnamed: 13,Unnamed: 14
No,Name,Min,,,,,,AS,TO,ST,BS,,+/-,PTS
,,,M/A %,M/A %,M/A %,M/A %,OR DR TOT,,,,,PF FD,,
*4 DENNIS KOJA,,17:45,2/5 40.0,2/5 40.0,0/0 0.0,0/0 0.0,0 5 5,0,2,2,1,0 0,9,4
*5 TIMOTHY OYOO,,34:50,7/11 63.6,7/11 63.6,0/0 0.0,4/5 80.0,4 10 14,1,4,2,3,2 4,3,18
6 THOMAS (TJ) ADIKA,,07:04,0/2 0.0,0/2 0.0,0/0 0.0,0/0 0.0,0 0 0,0,1,0,0,3 0,-3,0
7 GARANG DING,,19:45,4/6 66.7,3/4 75.0,1/2 50.0,2/6 33.3,1 3 4,1,6,2,1,5 4,5,11
8 LARRY SHAVANGA,,14:38,0/4 0.0,0/2 0.0,0/2 0.0,0/0 0.0,0 1 1,1,2,1,0,0 0,2,0
9 ARIEL ORTEGA,,11:25,1/6 16.7,0/1 0.0,1/5 20.0,0/2 0.0,0 2 2,2,0,0,0,1 1,1,3
*11 DARRYL OMONDI,,17:27,6/7 85.7,5/5 100.0,1/2 50.0,0/2 0.0,0 1 1,1,1,1,0,0 1,0,13
*12 MATTHEW LANGAT,,16:12,1/6 16.7,1/6 16.7,0/0 0.0,0/0 0.0,3 3 6,2,1,2,0,1 0,-6,2
*13 FAHEEM JUMA,,25:22,2/8 25.0,2/5 40.0,0/3 0.0,2/2 100.0,1 2 3,4,3,1,1,2 1,1,6
14 MOSES ALIER,,21:55,4/6 66.7,3/5 60.0,1/1 100.0,3/6 50.0,1 3 4,2,2,0,0,2 3,5,12
15 BRAMWEL CHEVAI (C),,13:37,0/2 0.0,0/2 0.0,0/0 0.0,0/0 0.0,2 0 2,2,2,0,0,0 0,1,0
Team/Coach,,,,,,,2 6 8,,0,,,0,,
Totals,,200:00,27/63 42.9,23/48 47.9,4/15 26.7,11/23 47.8,14 36 50,16,24,11,6,16 14,3,69
