Two Points Percentage,Two Points Made,Two Points Attempts,Three Points Percentage,Three Points Made,Three Points attempts,FG Percentage,FG Made,FG Attempts,Fouls PF,Fouls FD,Free Throws Percentage,Free Throws Made,Free Throws Attempts,Rebounds OR,Rebounds DR,Rebounds TOT,Player,Min,AS,TO,ST,BS,Plus or Minus,PTS
0.0,0,0,14.3,1,7,14.3,1,7,2,1,0.0,0,2,1,1,2,*4 FREDRICK ONONO,11:11,2.0,2.0,0.0,0.0,3.0,3.0
0.0,0,0,0.0,0,0,0.0,0,0,1,0,0.0,0,0,0,0,0,5 MOSES WANJARA,04:31,0.0,2.0,0.0,0.0,1.0,0.0
0.0,0,4,0.0,0,8,0.0,0,12,3,2,50.0,2,4,2,6,8,*6 VICTOR BOSIRE (C),30:02,3.0,4.0,5.0,0.0,-14.0,2.0
0.0,0,1,0.0,0,0,0.0,0,1,2,0,0.0,0,0,0,2,2,8 PASCAL NABWANA,06:15,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0,1,0.0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,9 BOBBY ONYANGO,09:58,2.0,0.0,1.0,0.0,11.0,0.0
40.0,4,10,0.0,0,5,26.7,4,15,0,3,75.0,3,4,3,1,4,10 TITUS MUSEMBI,28:49,2.0,0.0,3.0,0.0,-6.0,11.0
50.0,4,8,0.0,0,0,50.0,4,8,3,4,20.0,1,5,3,2,5,*11 LENSON KISIA,27:39,0.0,4.0,1.0,1.0,-14.0,9.0
0.0,0,0,0.0,0,0,0.0,0,0,1,3,50.0,2,4,3,1,4,12 MAROL ACHIEI JOSHUA,08:56,1.0,0.0,1.0,1.0,0.0,2.0
30.0,3,10,0.0,0,0,30.0,3,10,1,1,100.0,2,2,4,4,8,*13 KELVIN KIGOTHO,20:48,1.0,3.0,1.0,0.0,-11.0,8.0
75.0,3,4,46.2,6,13,52.9,9,17,2,1,50.0,1,2,1,1,2,*16 VICTOR OCHIENG,35:29,2.0,0.0,2.0,0.0,-4.0,25.0
22.2,2,9,0.0,0,0,22.2,2,9,0,1,100.0,2,2,3,6,9,42 CLIFF ALELA,16:22,0.0,2.0,2.0,0.0,9.0,6.0
34.0,16,47,21.2,7,33,28.8,23,80,15,16,52.0,13,25,26,27,53,Totals,200:00,13.0,17.0,16.0,2.0,-3.0,66.0
