Two Points Percentage,Two Points Made,Two Points Attempts,Three Points Percentage,Three Points Made,Three Points Attempts,FG Percentage,FG Made,FG Attempts,Fouls PF,Fouls FD,Free Throws Percentage,Free Throws Made,Free Throws Attempts,Rebounds OR,Rebounds DR,Rebounds TOT,Player,Min,AS,TO,ST,BS,Plus or Minus,PTS
40.0,2,5,0.0,0,0,40.0,2,5,0,0,0.0,0,0,0,5,5,*4 DENNIS KOJA,17:45,0.0,2.0,2.0,1.0,9.0,4.0
63.6,7,11,0.0,0,0,63.6,7,11,2,4,80.0,4,5,4,10,14,*5 TIMOTHY OYOO,34:50,1.0,4.0,2.0,3.0,3.0,18.0
0.0,0,2,0.0,0,0,0.0,0,2,3,0,0.0,0,0,0,0,0,6 THOMAS (TJ) ADIKA,07:04,0.0,1.0,0.0,0.0,-3.0,0.0
75.0,3,4,50.0,1,2,66.7,4,6,5,4,33.3,2,6,1,3,4,7 GARANG DING,19:45,1.0,6.0,2.0,1.0,5.0,11.0
0.0,0,2,0.0,0,2,0.0,0,4,0,0,0.0,0,0,0,1,1,8 LARRY SHAVANGA,14:38,1.0,2.0,1.0,0.0,2.0,0.0
0.0,0,1,20.0,1,5,16.7,1,6,1,1,0.0,0,2,0,2,2,9 ARIEL ORTEGA,11:25,2.0,0.0,0.0,0.0,1.0,3.0
100.0,5,5,50.0,1,2,85.7,6,7,0,1,0.0,0,2,0,1,1,*11 DARRYL OMONDI,17:27,1.0,1.0,1.0,0.0,0.0,13.0
16.7,1,6,0.0,0,0,16.7,1,6,1,0,0.0,0,0,3,3,6,*12 MATTHEW LANGAT,16:12,2.0,1.0,2.0,0.0,-6.0,2.0
40.0,2,5,0.0,0,3,25.0,2,8,2,1,100.0,2,2,1,2,3,*13 FAHEEM JUMA,25:22,4.0,3.0,1.0,1.0,1.0,6.0
60.0,3,5,100.0,1,1,66.7,4,6,2,3,50.0,3,6,1,3,4,14 MOSES ALIER,21:55,2.0,2.0,0.0,0.0,5.0,12.0
0.0,0,2,0.0,0,0,0.0,0,2,0,0,0.0,0,0,2,0,2,15 BRAMWEL CHEVAI (C),13:37,2.0,2.0,0.0,0.0,1.0,0.0
47.9,23,48,26.7,4,15,42.9,27,63,16,14,47.8,11,23,14,36,50,Totals,200:00,16.0,24.0,11.0,6.0,3.0,69.0
